GU,SQ1_2,AQ1_1,AQ1_2,AQ1_3,AQ1_4,AQ2_1,AQ2_2,AQ2_3,AQ2_4,AQ2_5,AQ3,AQ4,AQ7_1,AQ7_2,AQ7_3,AQ7_4,AQ23_1,AQ23_2,AQ23_3,AQ23_4,AQ30_1,AQ30_2,AQ30_3,AQ30_4,AQ30_5,DEW2,wtb1
110,1,4,4,5,4,4,3,2,1,4,5,1,4,3,3,4,5,5,4,2,10,5,7,7,8,4,22.371
110,2,4,4,5,4,4,4,4,2,4,5,3,3,5,3,3,5,4,3,2,9,9,8,8,9,3,19.996
110,1,4,3,3,4,4,4,4,3,4,5,2,4,5,3,3,5,4,3,2,9,8,8,8,8,5,76.113
110,2,5,3,5,4,4,5,3,3,5,3,2,4,5,3,3,5,4,4,3,9,9,8,8,8,4,43.406
110,2,3,3,4,3,4,3,3,3,4,3,2,3,4,2,3,5,5,4,3,8,6,8,8,8,2,87.968
110,1,4,2,4,4,4,4,4,3,4,3,2,4,3,3,4,5,5,4,3,8,9,8,8,8,6,45.89
110,2,5,3,4,5,4,5,3,4,4,4,3,4,3,3,3,5,4,4,3,8,7,8,8,8,6,37.323
110,2,4,4,4,4,4,3,3,3,4,3,3,5,4,2,3,5,5,3,3,9,8,8,8,8,3,24.749
110,1,4,2,4,5,4,4,4,3,4,3,2,4,3,3,3,5,4,3,3,9,7,9,8,8,6,220.588
110,2,4,2,4,3,4,4,2,3,4,3,3,4,5,3,3,5,5,3,3,8,8,7,7,8,6,179.407
110,1,4,3,3,4,4,3,3,2,4,3,2,4,5,3,3,5,5,4,3,9,8,8,8,8,5,76.113
110,2,4,2,4,4,4,3,3,2,4,3,2,5,4,2,3,5,3,3,2,8,7,6,7,8,5,76.934
110,1,2,2,4,3,4,3,3,2,4,3,3,2,2,2,1,5,5,3,2,8,8,6,7,8,2,112.859
110,1,4,3,5,4,4,4,2,3,4,4,2,4,5,3,3,5,5,4,3,9,7,7,8,8,5,76.113
110,2,4,3,5,4,4,5,3,3,4,3,2,5,4,2,1,5,5,4,3,9,8,7,8,8,5,76.934
110,1,3,3,4,3,4,4,3,3,4,4,2,4,4,4,3,5,5,4,3,8,9,7,7,8,4,46.661
110,2,4,4,4,4,3,4,3,3,4,3,2,4,5,3,3,5,4,3,3,9,8,7,8,8,4,50.478
110,2,2,2,4,3,4,3,4,2,4,3,2,5,4,2,3,5,5,4,3,8,7,7,8,8,1,116.24
110,2,4,2,4,4,5,4,4,2,4,4,4,4,5,3,3,5,5,4,3,9,8,7,8,8,3,89.544
110,1,4,1,4,3,2,4,3,1,3,4,3,2,3,3,1,5,4,3,2,7,8,8,7,7,4,28.053
